"ID","AUTHOR__C","BOOK_TYPE__C","PRICE__C","NAME","EXT_BOOK_ID__C","ID","STATUS"
"a0BGA000050SLik2AG","Chiranjeevi","Drama","876","God Father","B073","a0BGA000050SLik2AG","Item Updated"
"a0BGA000050SLil2AG","Madhu Bala","Drama","882","Repeat","B074","a0BGA000050SLil2AG","Item Updated"
"a0BGA000050SLim2AG","Sunny Deol","Fiction","828","Border","B075","a0BGA000050SLim2AG","Item Updated"
"a0BGA000050SLin2AG","J.K Rowling","Fiction","828","Porter","B076","a0BGA000050SLin2AG","Item Updated"
"a0BGA000050SLio2AG","Akshay","Fiction","999","Ram Sethu","B078","a0BGA000050SLio2AG","Item Updated"
"a0BGA000050SLip2AG","Sai Dharam Te","Fiction","622","Virupaksha","B079","a0BGA000050SLip2AG","Item Updated"
"a0BGA000050SLiq2AG","Pawan Kalyan","Drama","737","Sardar Gabbar Singh","B080","a0BGA000050SLiq2AG","Item Updated"
"a0BGA000050SLir2AG","Tim Burton","Fiction","838","Top Gun","B081","a0BGA000050SLir2AG","Item Updated"
"a0BGA000050SLis2AG","Ajay","Fiction","873","Baroot","B082","a0BGA000050SLis2AG","Item Updated"
"a0BGA000050SLit2AG","Sai Kumar","Drama","938","Police Story-1","B083","a0BGA000050SLit2AG","Item Updated"
"a0BGA000050SLiu2AG","Nanny","Fiction","736","Ohh Nana","B084","a0BGA000050SLiu2AG","Item Updated"
"a0BGA000050SLjZ2AW","Denis","Fiction","450","Dune","B085","a0BGA000050SLjZ2AW","Item Updated"
"a0BGA000050SLja2AG","Daniel","Classic","500","Ikigai","B086","a0BGA000050SLja2AG","Item Updated"
"a0BGA000050SLjb2AG","Robert","Biography","700","Rich Dad Poor Dad","B087","a0BGA000050SLjb2AG","Item Updated"
"a0BGA000050SM152AG","Matt","Classic","890","Atomic Habits","B092","a0BGA000050SM152AG","Item Updated"
"a0BGA000050SM162AG","Hugo","Fiction","990","Two States","B093","a0BGA000050SM162AG","Item Updated"
"a0BGA000050SM1n2AG","Stephen","Fiction","890","Shinning","B094","a0BGA000050SM1n2AG","Item Updated"
"a0BGA000050SM1o2AG","Grant","Classic","780","Nottinghum","B095","a0BGA000050SM1o2AG","Item Updated"
"a0BGA000050SLs22AG","Christoper","Fiction","700","Oppenhiemer","B088","a0BGA000050SLs22AG","Item Updated"
"a0BGA000050SLs32AG","Stephen","Fiction","600","IT","B091","a0BGA000050SLs32AG","Item Updated"
"a0BGA000050SMIN2A4","Brad Pit","Fiction","740","Fight Club","B096","a0BGA000050SMIN2A4","Item Created"
"a0BGA000050SMIO2A4","Morgan Freeman","Classic","540","Se7ven","B097","a0BGA000050SMIO2A4","Item Created"
