"ID","NAME","AUTHOR__C","BOOK_TYPE__C","PRICE__C","ID","EXT_BOOK_ID__C","STATUS"
"a0BGA000050SLiS2AW","Bimla Naya","Puri Jaganath","Fiction","939.0","a0BGA000050SLiS2AW","B055","Item Updated"
"a0BGA000050SLiT2AW","Ukraine War","Valdmir Putin","Drama","727.0","a0BGA000050SLiT2AW","B056","Item Updated"
"a0BGA000050SLiH2AW","Batla House","John Abraham","Drama","765.0","a0BGA000050SLiH2AW","B044","Item Updated"
"a0BGA000050SLiI2AW","Omicron","China","Fiction","827.0","a0BGA000050SLiI2AW","B045","Item Updated"
"a0BGA000050SLiJ2AW","Godzilla","Jack Sparrow","Fiction","788.0","a0BGA000050SLiJ2AW","B046","Item Updated"
"a0BGA000050SLiK2AW","Jurasic Park","Pawan Kalyan","Fiction","888.0","a0BGA000050SLiK2AW","B047","Item Updated"
"a0BGA000050SLiL2AW","Suryavamshi","Akshay","Drama","828.0","a0BGA000050SLiL2AW","B048","Item Updated"
"a0BGA000050SLiM2AW","Incredibles","John Travolta","Fiction","726.0","a0BGA000050SLiM2AW","B049","Item Updated"
"a0BGA000050SLiN2AW","The Book Thief","Markus","Fiction","456.0","a0BGA000050SLiN2AW","B050","Item Updated"
"a0BGA000050SLiO2AW","Pushpa","Allu Arjun","Drama","765.0","a0BGA000050SLiO2AW","B051","Item Updated"
"a0BGA000050SLiU2AW","House of Cards","Ganagan","Drama","888.0","a0BGA000050SLiU2AW","B057","Item Updated"
"a0BGA000050SLiV2AW","Norcotics","Gangmen","Drama","838.0","a0BGA000050SLiV2AW","B058","Item Updated"
"a0BGA000050SLiW2AW","Spityilla","Aay Devegan","Fiction","333.0","a0BGA000050SLiW2AW","B059","Item Updated"
"a0BGA000050SLiX2AW","Kashmiri Files","Anupam Kher","Drama","822.0","a0BGA000050SLiX2AW","B060","Item Updated"
"a0BGA000050SLiY2AW","Golmal-2","Rohit Shetty","Fiction","333.0","a0BGA000050SLiY2AW","B062","Item Updated"
"a0BGA000050SLiZ2AW","Last Morning","Modi","Fiction","727.0","a0BGA000050SLiZ2AW","B061","Item Updated"
"a0BGA000050SLia2AG","Vikram","Chiyan Vikram","Drama","882.0","a0BGA000050SLia2AG","B063","Item Updated"
"a0BGA000050SLib2AG","F3","Tamana","Drama","777.0","a0BGA000050SLib2AG","B064","Item Updated"
"a0BGA000050SLic2AG","Forensic","Puri Jaganath","Fiction","882.0","a0BGA000050SLic2AG","B065","Item Updated"
"a0BGA000050SLid2AG","Karthekya-2","Nikil","Fiction","569.0","a0BGA000050SLid2AG","B066","Item Updated"
"a0BGA000050SLie2AG","Sita Ram","Dulqar Salman","Drama","888.0","a0BGA000050SLie2AG","B067","Item Updated"
"a0BGA000050SLif2AG","Liger","Puri Jaganath","Fiction","888.0","a0BGA000050SLif2AG","B068","Item Updated"
"a0BGA000050SLig2AG","Narcos","String","Drama","876.0","a0BGA000050SLig2AG","B069","Item Updated"
"a0BGA000050SLih2AG","SeethaRam","Dulqer","Fiction","837.0","a0BGA000050SLih2AG","B070","Item Updated"
"a0BGA000050SLii2AG","Poniyan Selvan","Aiswary Rai","Fiction","832.0","a0BGA000050SLii2AG","B071","Item Updated"
"a0BGA000050SLij2AG","Lords of Rings","SS Rajmaouli","Fiction","789.0","a0BGA000050SLij2AG","B072","Item Updated"
"a0BGA000050SLik2AG","God Father","Chiranjeevi","Drama","876.0","a0BGA000050SLik2AG","B073","Item Updated"
"a0BGA000050SLil2AG","Repeat","Madhu Bala","Drama","882.0","a0BGA000050SLil2AG","B074","Item Updated"
"a0BGA000050SLim2AG","Border","Sunny Deol","Fiction","828.0","a0BGA000050SLim2AG","B075","Item Updated"
"a0BGA000050SLin2AG","Porter","J.K Rowling","Fiction","828.0","a0BGA000050SLin2AG","B076","Item Updated"
"a0BGA000050SLio2AG","Ram Sethu","Akshay","Fiction","999.0","a0BGA000050SLio2AG","B078","Item Updated"
"a0BGA000050SLip2AG","Virupaksha","Sai Dharam Te","Fiction","622.0","a0BGA000050SLip2AG","B079","Item Updated"
"a0BGA000050SLiq2AG","Sardar Gabbar Singh","Pawan Kalyan","Drama","737.0","a0BGA000050SLiq2AG","B080","Item Updated"
"a0BGA000050SLir2AG","Top Gun","Tim Burton","Fiction","838.0","a0BGA000050SLir2AG","B081","Item Updated"
"a0BGA000050SLis2AG","Baroot","Ajay","Fiction","873.0","a0BGA000050SLis2AG","B082","Item Updated"
"a0BGA000050SLit2AG","Police Story-1","Sai Kumar","Drama","938.0","a0BGA000050SLit2AG","B083","Item Updated"
"a0BGA000050SLiu2AG","Ohh Nana","Nanny","Fiction","736.0","a0BGA000050SLiu2AG","B084","Item Updated"
"a0BGA000050SLjZ2AW","Dune","Denis","Fiction","450.0","a0BGA000050SLjZ2AW","B085","Item Updated"
"a0BGA000050SLja2AG","Ikigai","Daniel","Classic","500.0","a0BGA000050SLja2AG","B086","Item Updated"
"a0BGA000050SLjb2AG","Rich Dad Poor Dad","Robert","Biography","700.0","a0BGA000050SLjb2AG","B087","Item Updated"
"a0BGA000050SM152AG","Atomic Habits","Matt","Classic","890.0","a0BGA000050SM152AG","B092","Item Updated"
"a0BGA000050SM162AG","Two States","Hugo","Fiction","990.0","a0BGA000050SM162AG","B093","Item Updated"
"a0BGA000050SM1n2AG","Shinning","Stephen","Fiction","890.0","a0BGA000050SM1n2AG","B094","Item Updated"
"a0BGA000050SM1o2AG","Nottinghum","Grant","Classic","780.0","a0BGA000050SM1o2AG","B095","Item Updated"
"a0BGA000050SLs22AG","Oppenhiemer","Christoper","Fiction","700.0","a0BGA000050SLs22AG","B088","Item Updated"
"a0BGA000050SLs32AG","IT","Stephen","Fiction","600.0","a0BGA000050SLs32AG","B091","Item Updated"
"a0BGA000050SMIO2A4","Se7ven","Morgan Freeman","Classic","540.0","a0BGA000050SMIO2A4","B097","Item Updated"
"a0BGA000050SMIN2A4","Fight Club","Brad Pit","Fiction","740.0","a0BGA000050SMIN2A4","B096","Item Updated"
